Villa Allende	Villa Allende	-31.29458	-64.29538	AR	21683
Viedma	Viedma	-40.81345	-62.99668	AR	48940
Victoria	Victoria	-32.61841	-60.15478	AR	25139
Vera	Vera	-29.4593	-60.21261	AR	19797
Venado Tuerto	Venado Tuerto	-33.74556	-61.96885	AR	72340
Veinticinco de Mayo	Veinticinco de Mayo	-35.4323	-60.17271	AR	24668
Ushuaia	Ushuaia	-54.8	-68.3	AR	58028
Unquillo	Unquillo	-31.23073	-64.31615	AR	15369
Tres Isletas	Tres Isletas	-26.34067	-60.43207	AR	24747
Tres Arroyos	Tres Arroyos	-38.37394	-60.27978	AR	47136
Trelew	Trelew	-43.24895	-65.30505	AR	93442
Termas de Río Hondo	Termas de Rio Hondo	-27.49362	-64.85972	AR	27838
Tartagal	Tartagal	-22.51637	-63.80131	AR	60819
Tafí Viejo	Tafi Viejo	-26.73201	-65.25921	AR	48459
Sunchales	Sunchales	-30.94404	-61.56148	AR	18757
Santo Tomé	Santo Tome	-31.66274	-60.7653	AR	59072
Santiago del Estero	Santiago del Estero	-27.79511	-64.26149	AR	354692
Santa Rosa	Santa Rosa	-36.61667	-64.28333	AR	111424
Santa Lucía	Santa Lucia	-31.53987	-68.49503	AR	43565
Santa Fe de la Vera Cruz	Santa Fe de la Vera Cruz	-31.63333	-60.7	AR	489505
San Salvador de Jujuy	San Salvador de Jujuy	-24.19457	-65.29712	AR	305891
San Ramón de la Nueva Orán	San Ramon de la Nueva Oran	-23.13705	-64.32426	AR	74059
San Rafael	San Rafael	-34.61772	-68.33007	AR	109163
San Pedro	San Pedro	-24.23127	-64.86614	AR	58430
San Nicolás de los Arroyos	San Nicolas de los Arroyos	-33.33578	-60.22523	AR	127742
San Miguel de Tucumán	San Miguel de Tucuman	-26.82414	-65.2226	AR	781023
San Martín de los Andes	San Martin de los Andes	-40.15789	-71.35337	AR	23519
San Martín	San Martin	-33.08103	-68.46814	AR	82549
San Luis	San Luis	-33.29501	-66.33563	AR	183982
San Justo	San Justo	-30.78913	-60.59189	AR	21809
San Juan	San Juan	-31.5375	-68.53639	AR	447048
San José de Jáchal	San Jose de Jachal	-30.24057	-68.74693	AR	21018
San Jorge	San Jorge	-31.89618	-61.85984	AR	16873
San Francisco	San Francisco	-31.42797	-62.08266	AR	59062
San Fernando del Valle de Catamarca	San Fernando del Valle de Catamarca	-28.46957	-65.78524	AR	188812
San Antonio Oeste	San Antonio Oeste	-40.73193	-64.94769	AR	16966
Salta	Salta	-24.7859	-65.41166	AR	512686
Rufino	Rufino	-34.26827	-62.71262	AR	18361
Rosario	Rosario	-32.94682	-60.63932	AR	1173533
Río Tercero	Rio Tercero	-32.17301	-64.11405	AR	53389
Río Segundo	Rio Segundo	-31.6526	-63.9099	AR	18155
Río Gallegos	Rio Gallegos	-51.62261	-69.21813	AR	85700
Río Cuarto	Rio Cuarto	-33.13067	-64.34992	AR	153757
Río Ceballos	Rio Ceballos	-31.16486	-64.32241	AR	16632
Rawson	Rawson	-43.30016	-65.10228	AR	26335
Rafaela	Rafaela	-31.25033	-61.4867	AR	88713
Quitilipi	Quitilipi	-26.86913	-60.21683	AR	32083
Punta Alta	Punta Alta	-38.87588	-62.07359	AR	57209
Puerto Madryn	Puerto Madryn	-42.7692	-65.03851	AR	64555
Presidencia Roque Sáenz Peña	Presidencia Roque Saenz Pena	-26.78522	-60.43876	AR	81879
Pocito	Pocito	-31.68333	-68.58333	AR	40969
Plottier	Plottier	-38.96667	-68.23333	AR	25186
Pergamino	Pergamino	-33.88995	-60.57357	AR	87652
Pérez	Perez	-32.99835	-60.76791	AR	24436
Paraná	Parana	-31.73197	-60.5238	AR	262295
Palpalá	Palpala	-24.25647	-65.21163	AR	48199
Olavarría	Olavarria	-36.89272	-60.32254	AR	86320
Nueve de Julio	Nueve de Julio	-35.44437	-60.88313	AR	34718
